from,to,relation
bmg,bl,3
bmg1,luz,1
bmg1,bmg,2
bmg3,kaw,1
bmg3,bmg,2
bmg4,psg,1
bmg4,bmg,2
bmg5,gelj,1
bmg5,bmg,2
bmg6,levj,1
bmg6,bmg,2
bmg7,bmgj,1
bmg7,bmg,2
bmg8,mu60,1
bmg8,bmg,2
bmg10,soc,1
bmg10,bmg,2
bmg11,rbs,1
bmg11,bmg,2
bmg13,ksc,1
bmg13,bmg,2
bmg14,ol,1
bmg14,bmg,2
bmg17,tou,1
bmg17,bmg,2
bmg18,rbs,1
bmg18,bmg,2
bmg19,tou,1
bmg19,bmg,2
bmg20,bscj,1
bmg20,bmg,2
bmg21,fck,1
bmg21,bmg,2
bmg23,tsgj,1
bmg23,bmg,2
bmg24,bmgj,1
bmg24,bmg,2
bmg25,pac,1
bmg25,bmg,2
bmg29,nyfc,1
bmg29,bmg,2
bmg30,fcz,1
bmg30,bmg,2
bmg32,mu60,1
bmg32,bmg,2
bmg34,bmgj,1
bmg34,bmg,2
bmg38,bmgj,1
bmg38,bmg,2
bmg41,bmgj,1
bmg41,bmg,2
