from,to,relation
boc,bl,3
boc1,burg,1
boc2,mli,1
boc3,lust,1
boc4,cuk,1
boc5,zaw,1
boc6,bvbj,1
boc7,vfbj,1
boc8,asse,1
boc9,ksc,1
boc10,vfbj,1
boc11,yok,1
boc16,paok,1
boc17,svwj,1
boc18,ars,1
boc20,shak,1
boc21,habi,1
boc22,hern,1
boc23,manu,1
boc24,olpi,1
boc28,atm,1
boc29,cott,1
boc30,fck,1
boc31,kirc,1
boc33,gelj,1
boc35,anne,1
boc1,boc,2
boc2,boc,2
boc3,boc,2
boc4,boc,2
boc5,boc,2
boc6,boc,2
boc7,boc,2
boc8,boc,2
boc9,boc,2
boc10,boc,2
boc11,boc,2
boc16,boc,2
boc17,boc,2
boc18,boc,2
boc20,boc,2
boc21,boc,2
boc22,boc,2
boc23,boc,2
boc24,boc,2
boc28,boc,2
boc29,boc,2
boc30,boc,2
boc31,boc,2
boc33,boc,2
boc35,boc,2
