from,to,relation
bvb,bl,3
bvb1,gcz,1
bvb2,bar,1
bvb4,scfj,1
bvb6,koej,1
bvb7,nyfc,1
bvb8,bmgj,1
bvb9,aux,1
bvb11,rwa,1
bvb13,caen,1
bvb14,bscj,1
bvb15,fcbj,1
bvb17,mu60,1
bvb18,bvbj,1
bvb19,wobj,1
bvb20,niz,1
bvb21,ars,1
bvb22,bir,1
bvb23,fcbj,1
bvb24,rev,1
bvb25,tsgj,1
bvb26,vik,1
bvb27,uha,1
bvb30,bvbj,1
bvb33,hsv,1
bvb35,levj,1
bvb36,bvbj,1
bvb43,bvbj,1
bvb47,vfra,1
bvb1,bvb,2
bvb2,bvb,2
bvb4,bvb,2
bvb6,bvb,2
bvb7,bvb,2
bvb8,bvb,2
bvb9,bvb,2
bvb11,bvb,2
bvb13,bvb,2
bvb14,bvb,2
bvb15,bvb,2
bvb17,bvb,2
bvb18,bvb,2
bvb19,bvb,2
bvb20,bvb,2
bvb21,bvb,2
bvb22,bvb,2
bvb23,bvb,2
bvb24,bvb,2
bvb25,bvb,2
bvb26,bvb,2
bvb27,bvb,2
bvb30,bvb,2
bvb33,bvb,2
bvb35,bvb,2
bvb36,bvb,2
bvb43,bvb,2
bvb47,bvb,2
