from,to,relation
fsv,bl,3
fsv1,fsvj,1
fsv1,fsv,2
fsv3,espb,1
fsv3,fsv,2
fsv4,sgej,1
fsv4,fsv,2
fsv5,bocj,1
fsv5,fsv,2
fsv6,osna,1
fsv6,fsv,2
fsv7,kun,1
fsv7,fsv,2
fsv8,fsvj,1
fsv8,fsv,2
fsv9,twl,1
fsv9,fsv,2
fsv11,fcno,1
fsv11,fsv,2
fsv16,fsvj,1
fsv16,fsv,2
fsv17,asco,1
fsv17,fsv,2
fsv19,stra,1
fsv19,fsv,2
fsv20,fcsi,1
fsv20,fsv,2
fsv21,levj,1
fsv21,fsv,2
fsv25,stab,1
fsv25,fsv,2
fsv27,fsvj,1
fsv27,fsv,2
fsv29,fsvj,1
fsv29,fsv,2
fsv30,aar,1
fsv30,fsv,2
fsv31,levj,1
fsv31,fsv,2
fsv36,fsvj,1
fsv36,fsv,2
fsv37,graa,1
fsv37,fsv,2
fsv42,mu60,1
fsv42,fsv,2
fsv43,fsvj,1
fsv43,fsv,2
fsv44,fsvj,1
fsv44,fsv,2
