from,to,relation
svw,bl,3
svw1,ostr,1
svw1,svw,2
svw3,sgej,1
svw3,svw,2
svw4,fcn,1
svw4,svw,2
svw5,bvbj,1
svw5,svw,2
svw6,brab,1
svw6,svw,2
svw7,bvbj,1
svw7,svw,2
svw8,koej,1
svw8,svw,2
svw10,cott,1
svw10,svw,2
svw11,svwj,1
svw11,svw,2
svw13,tot,1
svw13,svw,2
svw17,scfj,1
svw17,svw,2
svw19,fcaj,1
svw19,svw,2
svw20,graz,1
svw20,svw,2
svw21,svwj,1
svw21,svw,2
svw22,svwj,1
svw22,svw,2
svw26,der,1
svw26,svw,2
svw27,osna,1
svw27,svw,2
svw28,svwj,1
svw28,svw,2
svw30,uha,1
svw30,svw,2
svw32,fcbj,1
svw32,svw,2
svw34,svwj,1
svw34,svw,2
svw36,hsv,1
svw36,svw,2
svw39,svwj,1
svw39,svw,2
