from,to,relation
vfb,bl,3
vfb1,vfb,2
vfb1,fsvj,1
vfb2,vfb,2
vfb2,han,1
vfb3,vfb,2
vfb3,shb,1
vfb4,vfb,2
vfb4,hsv,1
vfb5,vfb,2
vfb5,smy,1
vfb7,vfb,2
vfb7,psg,1
vfb8,vfb,2
vfb8,asm,1
vfb9,vfb,2
vfb9,stl,1
vfb10,vfb,2
vfb10,spo,1
vfb11,vfb,2
vfb11,prt,1
vfb14,vfb,2
vfb14,pfc,1
vfb15,vfb,2
vfb15,bvbj,1
vfb16,vfb,2
vfb16,bocj,1
vfb17,vfb,2
vfb17,ura,1
vfb20,vfb,2
vfb20,stk,1
vfb21,vfb,2
vfb21,iwa,1
vfb22,vfb,2
vfb22,rwo,1
vfb23,vfb,2
vfb23,psg,1
vfb24,vfb,2
vfb24,zag,1
vfb25,vfb,2
vfb25,vfbj,1
vfb27,vfb,2
vfb27,cco,1
vfb28,vfb,2
vfb28,kop,1
vfb31,vfb,2
vfb31,asm,1
vfb33,vfb,2
vfb33,rblj,1
vfb34,vfb,2
vfb34,fen,1
vfb36,vfb,2
vfb36,vfbj,1
vfb37,vfb,2
vfb37,vfbj,1
vfb39,vfb,2
vfb39,vfbj,1
