from,to,relation
wob,bl,3
wob1,krc,1
wob1,wob,2
wob2,mu60,1
wob2,wob,2
wob3,and,1
wob3,wob,2
wob4,soc,1
wob4,wob,2
wob5,vol,1
wob5,wob,2
wob6,atpr,1
wob6,wob,2
wob7,sgej,1
wob7,wob,2
wob10,manc,1
wob10,wob,2
wob12,twl,1
wob12,wob,2
wob16,lech,1
wob16,wob,2
wob20,fsvj,1
wob20,wob,2
wob22,manc,1
wob22,wob,2
wob23,kop,1
wob23,wob,2
wob27,wobj,1
wob27,wob,2
wob29,asse,1
wob29,wob,2
wob31,koej,1
wob31,wob,2
wob32,maff,1
wob32,wob,2
wob33,wad,1
wob33,wob,2
wob38,zag,1
wob38,wob,2
wob39,awie,1
wob39,wob,2
wob40,dcu,1
wob40,wob,2
