ID,Name,Typ,Verein,Jugendverein,Land,Am,MW,Einsatz
fca1,Rafal Gikiewicz,1,fca,ols,,,A,1
fca2,Robert Gumny,1,fca,lech,,,B,1
fca3,Mads Pedersen,1,fca,fcno,,,B,1
fca4,Reece Oxford,1,fca,whu,,,E,1
fca5,Tobias Strobl,1,fca,mu60,,,D,1
fca6,Jeffrey Gouweleeuw,1,fca,hee,,,E,1
fca7,Dion Beljo,1,fca,cib,,,C,1
fca8,Renato Veiga,1,fca,spo,,,A,1
fca9,Ermedin Demirovic,1,fca,rblj,,,E,1
fca10,Arne Maier,1,fca,bscj,,,G,1
fca11,Mergim Berisha,1,fca,rbs,,,D,1
fca13,Elvis Rexhbecaj,1,fca,wobj,,,D,1
fca14,Julian Baumgartlinger,1,fca,mu60,,,C,1
fca16,Ruben Vargas,1,fca,luz,,,E,1
fca17,Noah Sarenren Bazee,1,fca,han,,,A,1
fca19,Felix Udokhai,1,fca,mu60,,,F,1
fca20,Daniel Caligiuri,1,fca,scfj,,,C,1
fca22,Iago,1,fca,inte,,,C,1
fca23,Maximilian Bauer,1,fca,fur,,,B,1
fca24,Fredrik Jensen,1,fca,twen,,,B,1
fca27,Arne Engels,1,fca,brue,,,A,1
fca28,Andre Hahn,1,fca,hsv,,,D,1
fca30,Niklas Dorsch,1,fca,fcbj,,,D,1
fca38,David Colina,1,fca,asm,,,A,1
fca39,Benjamin Leneis,1,fca,fcaj,,,A,1
fca40,Tomas Koubek,1,fca,kral,,,C,1
fca42,Aaron Zehnter,1,fca,fcaj,,,A,1
fca45,Kelvin Yeboah,1,fca,goz,,,C,1
fca48,Irvin Cardona,1,fca,asm,,,D,1
ols,Tempo 25 Olsztyn,2,NA,NA,,,NA,NA
lech,Lech Posen,2,NA,NA,,,NA,NA
fcno,FC Nordsjaelland,2,NA,NA,,,NA,NA
whu,West Ham United,2,NA,NA,,,NA,NA
hee,SC Heerenveen,2,NA,NA,,,NA,NA
cib,Cibalia,2,NA,NA,,,NA,NA
spo,Sporting Lissabon,2,NA,NA,,,NA,NA
rblj,RB Leipzig Jugend,2,NA,NA,,,NA,NA
bscj,Hertha BSC Jugend,2,NA,NA,,,NA,NA
rbs,RB Salzburg,2,NA,NA,,,NA,NA
wobj,VfL Wolfsburg Jugend,2,NA,NA,,,NA,NA
luz,FC Luzern,2,NA,NA,,,NA,NA
han,Hannover 96,2,NA,NA,,,NA,NA
mu60,1860 München,2,NA,NA,,,NA,NA
scfj,SC Freiburg Jugend,2,NA,NA,,,NA,NA
inte,Internacional Porto Alegre,2,NA,NA,,,NA,NA
fur,Greuther Fuerth,2,NA,NA,,,NA,NA
twen,Twente Enschede,2,NA,NA,,,NA,NA
brue,FC Bruegge,2,NA,NA,,,NA,NA
hsv,Hamburger SV,2,NA,NA,,,NA,NA
fcbj,FC Bayern Jugend,2,NA,NA,,,NA,NA
kral,Hradec Kralove,2,NA,NA,,,NA,NA
fcaj,FC Augsburg Jugend,2,NA,NA,,,NA,NA
goz,Gozzano,2,NA,NA,,,NA,NA
asm,AS Monaco,2,NA,NA,,,NA,NA
fca,FC Augsburg,2,NA,NA,,,NA,NA
bl,Bundesliga,3,NA,NA,,,NA,NA
