id,name,type,nation,peak
fcb1,Manuel Neuer,1,NA,J
fcb2,Dayot Upamecano,1,NA,K
fcb4,Mathijs De Ligt,1,NA,L
fcb5,Benjamin Pavard,1,NA,J
fcb6,Joshua Kimmich,1,NA,L
fcb7,Serge Gnabry,1,NA,L
fcb8,Leon Goretzka,1,NA,L
fcb10,Leroy Sane,1,NA,L
fcb11,Kingsley Coman,1,NA,L
fcb13,Eric Maxim Choupo Moting,1,NA,D
fcb14,Paul Wanner,1,NA,B
fcb17,Sadio Mane,1,NA,L
fcb19,Alphonso Davies,1,NA,L
fcb20,Bouna Sarr,1,NA,D
fcb21,Lucas Hernandez,1,NA,L
fcb22,Joao Cancelo,1,NA,L
fcb23,Daley Blind,1,NA,G
fcb25,Thomas Mueller,1,NA,L
fcb26,Sven Ulreich,1,NA,D
fcb27,Yann Sommer,1,NA,E
fcb38,Ryan Gravenberch,1,NA,I
fcb39,Mathys Tel,1,NA,F
fcb40,Noussair Mazraoui,1,NA,H
fcb42,Jamal Musiala,1,NA,L
fcb44,Josip Stanisic,1,NA,D
fcu1,Frederik Roennow,1,NA,B
fcu2,Morten Thorsby,1,NA,C
fcu3,Paul Jaeckel,1,NA,C
fcu4,Diogo Leite,1,NA,D
fcu5,Danilho Doekhi,1,NA,B
fcu7,Levin Oeztunali,1,NA,C
fcu8,Rani Khedira,1,NA,D
fcu11,Sven Michel,1,NA,A
fcu13,Andras Schaefer,1,NA,B
fcu14,Paul Seguin,1,NA,A
fcu16,Tim Maciejewski,1,NA,A
fcu17,Kevin Behrens,1,NA,A
fcu19,Jannik Haberer,1,NA,D
fcu23,Niko Giesselmann,1,NA,B
fcu25,Timo Baumgartl,1,NA,E
fcu26,Jerome Rousillon,1,NA,F
fcu27,Sheraldo Becker,1,NA,E
fcu28,Christopher Trimmel,1,NA,A
fcu30,Kevin Moehwald,1,NA,B
fcu31,Robin Knoche,1,NA,E
fcu32,Milos Pantovic,1,NA,A
fcu37,Lennart Grill,1,NA,A
fcu40,Jamie Leweling,1,NA,B
fcu45,Jordan Siebatcheu,1,NA,D
fcu18,Josip Juranovic,1,NA,D
fcu20,Aissa Laidouni,1,NA,B
rbl1,Peter Gulacsi,1,NA,E
rbl2,Mohamed Simakan,1,NA,H
rbl4,Willi Orban,1,NA,F
rbl7,Dani Olmo,1,NA,J
rbl8,Amadou Haidara,1,NA,G
rbl9,Yussuf Poulsen,1,NA,I
rbl10,Emil Forsberg,1,NA,H
rbl11,Timo Werner,1,NA,L
rbl13,Orjan Nyland,1,NA,B
rbl16,Lukas Klostermann,1,NA,I
rbl17,Dominik Szoboszlai,1,NA,I
rbl18,Christopher Nkunku,1,NA,L
rbl19,Andre Silva,1,NA,J
rbl21,Janis Blaswich,1,NA,A
rbl22,David Raum,1,NA,H
rbl23,Marcel Halstenberg,1,NA,G
rbl24,Xaver Schlager,1,NA,H
rbl25,Sanoussy Ba,1,NA,A
rbl27,Konrad Laimer,1,NA,H
rbl32,Josko Gvardiol,1,NA,L
rbl37,Abdou Diallo,1,NA,I
