id,name,type,club,youth,nation,amateur,peakvalue
fcb1,Manuel Neuer,1,fcb,gelj,NA,NA,J
fcb2,Dayot Upamecano,1,fcb,vafc,NA,NA,K
fcb4,Mathijs De Ligt,1,fcb,aja,NA,NA,L
fcb5,Benjamin Pavard,1,fcb,lil,NA,NA,J
fcb6,Joshua Kimmich,1,fcb,vfbj,NA,NA,L
fcb7,Serge Gnabry,1,fcb,ars,NA,NA,L
fcb8,Leon Goretzka,1,fcb,bocj,NA,NA,L
fcb10,Leroy Sane,1,fcb,gelj,NA,NA,L
fcb11,Kingsley Coman,1,fcb,psg,NA,NA,L
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,NA,NA,D
fcb14,Paul Wanner,1,fcb,fcbj,NA,NA,B
fcb17,Sadio Mane,1,fcb,foot,NA,NA,L
fcb19,Alphonso Davies,1,fcb,vanw,NA,NA,L
fcb20,Bouna Sarr,1,fcb,met,NA,NA,D
fcb21,Lucas Hernandez,1,fcb,atm,NA,NA,L
fcb22,Joao Cancelo,1,fcb,ben,NA,NA,L
fcb23,Daley Blind,1,fcb,aja,NA,NA,G
fcb25,Thomas Mueller,1,fcb,fcbj,NA,NA,L
fcb26,Sven Ulreich,1,fcb,vfbj,NA,NA,D
fcb27,Yann Sommer,1,fcb,bas,NA,NA,E
fcb38,Ryan Gravenberch,1,fcb,aja,NA,NA,I
fcb39,Mathys Tel,1,fcb,ren,NA,NA,F
fcb40,Noussair Mazraoui,1,fcb,aja,NA,NA,H
fcb42,Jamal Musiala,1,fcb,fcbj,NA,NA,L
fcb44,Josip Stanisic,1,fcb,fcbj,NA,NA,D
fcu1,Frederik Roennow,1,fcu,hors,NA,NA,B
fcu2,Morten Thorsby,1,fcu,stab,NA,NA,C
fcu3,Paul Jaeckel,1,fcu,wobj,NA,NA,C
fcu4,Diogo Leite,1,fcu,prt,NA,NA,D
fcu5,Danilho Doekhi,1,fcu,aja,NA,NA,B
fcu7,Levin Oeztunali,1,fcu,hsv,NA,NA,C
fcu8,Rani Khedira,1,fcu,vfbj,NA,NA,D
fcu11,Sven Michel,1,fcu,nied,NA,NA,A
fcu13,Andras Schaefer,1,fcu,mtk,NA,NA,B
fcu14,Paul Seguin,1,fcu,wobj,NA,NA,A
fcu16,Tim Maciejewski,1,fcu,fcuj,NA,NA,A
fcu17,Kevin Behrens,1,fcu,svwj,NA,NA,A
fcu19,Jannik Haberer,1,fcu,uha,NA,NA,D
fcu23,Niko Giesselmann,1,fcu,han,NA,NA,B
fcu25,Timo Baumgartl,1,fcu,vfbj,NA,NA,E
fcu26,Jerome Rousillon,1,fcu,soc,NA,NA,F
fcu27,Sheraldo Becker,1,fcu,aja,NA,NA,E
fcu28,Christopher Trimmel,1,fcu,hori,NA,NA,A
fcu30,Kevin Moehwald,1,fcu,rwer,NA,NA,B
fcu31,Robin Knoche,1,fcu,wobj,NA,NA,E
fcu32,Milos Pantovic,1,fcu,fcbj,NA,NA,A
fcu37,Lennart Grill,1,fcu,fck,NA,NA,A
fcu40,Jamie Leweling,1,fcu,fur,NA,NA,B
fcu45,Jordan Siebatcheu,1,fcu,reim,NA,NA,D
fcu18,Josip Juranovic,1,fcu,nkd,NA,NA,D
fcu20,Aissa Laidouni,1,fcu,asco,NA,NA,B
rbl1,Peter Gulacsi,1,rbl,mtk,NA,NA,E
rbl2,Mohamed Simakan,1,rbl,stra,NA,NA,H
rbl4,Willi Orban,1,rbl,fck,NA,NA,F
rbl7,Dani Olmo,1,rbl,bar,NA,NA,J
rbl8,Amadou Haidara,1,rbl,bama,NA,NA,G
rbl9,Yussuf Poulsen,1,rbl,lyn,NA,NA,I
rbl10,Emil Forsberg,1,rbl,sun,NA,NA,H
rbl11,Timo Werner,1,rbl,vfbj,NA,NA,L
rbl13,Orjan Nyland,1,rbl,hoed,NA,NA,B
rbl16,Lukas Klostermann,1,rbl,bocj,NA,NA,I
rbl17,Dominik Szoboszlai,1,rbl,rbs,NA,NA,I
rbl18,Christopher Nkunku,1,rbl,psg,NA,NA,L
rbl19,Andre Silva,1,rbl,prt,NA,NA,J
rbl21,Janis Blaswich,1,rbl,bmgj,NA,NA,A
rbl22,David Raum,1,rbl,fur,NA,NA,H
rbl23,Marcel Halstenberg,1,rbl,han,NA,NA,G
rbl24,Xaver Schlager,1,rbl,rbs,NA,NA,H
rbl25,Sanoussy Ba,1,rbl,rblj,NA,NA,A
rbl27,Konrad Laimer,1,rbl,rbs,NA,NA,H
rbl32,Josko Gvardiol,1,rbl,zag,NA,NA,L
rbl37,Abdou Diallo,1,rbl,asm,NA,NA,I
rbl39,Benjamin Henrichs,1,rbl,levj,NA,NA,F
rbl44,Kevin Kampl,1,rbl,levj,NA,NA,G
bvb1,Gregor Kobel,1,bvb,gcz,NA,NA,G
bvb2,Mateu Morey,1,bvb,bar,NA,NA,C
bvb4,Nico Schlotterbeck,1,bvb,scfj,NA,NA,I
bvb6,Salih Oezcan,1,bvb,koej,NA,NA,F
bvb7,Giovanni Reyna,1,bvb,nyfc,NA,NA,J
bvb8,Mahmoud Dahoud,1,bvb,bmgj,NA,NA,F
bvb9,Sebastien Haller,1,bvb,aux,NA,NA,J
bvb11,Marco Reus,1,bvb,rwa,NA,NA,J
bvb13,Raphael Guerreiro,1,bvb,caen,NA,NA,I
bvb14,Nico Schulz,1,bvb,bscj,NA,NA,G
bvb15,Mats Hummels,1,bvb,fcbj,NA,NA,K
bvb17,Marius Wolf,1,bvb,mu60,NA,NA,D
bvb18,Youssoufa Moukoko,1,bvb,bvbj,NA,NA,H
bvb19,Julian Brandt,1,bvb,wobj,NA,NA,J
bvb20,Anthony Modeste,1,bvb,niz,NA,NA,F
bvb21,Donyell Malen,1,bvb,ars,NA,NA,H
bvb22,Jude Bellingham,1,bvb,bir,NA,NA,L
bvb23,Emre Can,1,bvb,fcbj,NA,NA,I
bvb24,Thomas Meunier,1,bvb,rev,NA,NA,I
bvb25,Niklas Suele,1,bvb,tsgj,NA,NA,K
bvb26,Julian Ryerson,1,bvb,vik,NA,NA,C
bvb27,Karim Adeyemi,1,bvb,uha,NA,NA,I
bvb30,Felix Passlack,1,bvb,bvbj,NA,NA,B
bvb33,Alexander Meyer,1,bvb,hsv,NA,NA,A
bvb35,Marcel Lotka,1,bvb,levj,NA,NA,A
bvb36,Tom Rothe,1,bvb,bvbj,NA,NA,B
bvb43,Jamie Bynoe Gittens,1,bvb,bvbj,NA,NA,D
bvb47,Antonios Papadopoulos,1,bvb,vfra,NA,NA,A
scf1,Benjamin Uphoff,1,scf,burg,NA,NA,A
scf3,Philipp Lienhart,1,scf,rma,NA,NA,G
scf5,Manuel Gulde,1,scf,tsgj,NA,NA,B
scf7,Jonathan Schmid,1,scf,scfj,NA,NA,C
scf8,Maximilian Eggestein,1,scf,svwj,NA,NA,H
scf9,Lucas Hoeler,1,scf,blum,NA,NA,C
scf11,Daniel Kofi Kyereh,1,scf,have,NA,NA,D
scf14,Yannik Keitel,1,scf,scfj,NA,NA,B
scf17,Lukas Kuebler,1,scf,bonn,NA,NA,B
scf18,Nils Petersen,1,scf,czj,NA,NA,E
scf22,Roland Sallai,1,scf,pus,NA,NA,F
scf23,Robert Wagner,1,scf,scfj,NA,NA,A
scf25,Kiliann Sildillia,1,scf,met,NA,NA,D
scf26,Mark Flekken,1,scf,aaa,NA,NA,C
scf27,Nicolas Hoefler,1,scf,scfj,NA,NA,B
scf28,Matthias Ginter,1,scf,scfj,NA,NA,I
scf29,Woo Yeong Jeong,1,scf,fcbj,NA,NA,C
scf30,Christian Guenter,1,scf,scfj,NA,NA,E
scf32,Vincenzo Grifo,1,scf,ksc,NA,NA,E
scf33,Noah Weisshaupt,1,scf,scfj,NA,NA,B
scf38,Michael Gregoritsch,1,scf,svka,NA,NA,F
scf42,Ritsu Doan,1,scf,gamb,NA,NA,F
sge1,Kevin Trapp,1,sge,fck,NA,NA,E
sge2,Evan N Dicka,1,sge,aux,NA,NA,I
sge5,Hrvoje Smolcic,1,sge,rij,NA,NA,B
sge6,Kristijan Jakic,1,sge,spli,NA,NA,D
sge8,Djibril Sow,1,sge,fcz,NA,NA,G
sge9,Randal Kolo Muani,1,sge,nan,NA,NA,I
sge11,Faride Alidou,1,sge,hsv,NA,NA,A
sge15,Daichi Kamada,1,sge,hhs,NA,NA,H
sge17,Sebastian Rode,1,sge,off,NA,NA,D
sge18,Almamy Toure,1,sge,asm,NA,NA,D
sge19,Rafael Borre,1,sge,cal,NA,NA,F
sge20,Makoto Hasebe,1,sge,fhs,NA,NA,B
sge21,Lucas Alario,1,sge,cac,NA,NA,F
sge22,Timothy Chandler,1,sge,sgej,NA,NA,B
sge24,Aurelio Buta,1,sge,ben,NA,NA,C
sge25,Christopher Lenz,1,sge,bmgj,NA,NA,B
sge26,Junior Dina Ebimbe,1,sge,psg,NA,NA,C
sge27,Mario Goetze,1,sge,bvbj,NA,NA,K
sge28,Marcel Wenig,1,sge,fcbj,NA,NA,A
sge29,Jesper Lindstrom,1,sge,bro,NA,NA,H
sge31,Jens Grahl,1,sge,stk,NA,NA,A
sge32,Philipp Max,1,sge,gelj,NA,NA,F
sge35,Tuta,1,sge,saop,NA,NA,E
sge36,Ansgar Knauff,1,sge,bvbj,NA,NA,D
sge40,Diant Ramaj,1,sge,heid,NA,NA,A
wob1,Koen Casteels,1,wob,krc,NA,NA,E
wob2,Kilian Fischer,1,wob,mu60,NA,NA,A
wob3,Sebastiaan Bornauw,1,wob,and,NA,NA,E
wob4,Maxence Lacroix,1,wob,soc,NA,NA,H
wob5,Micky van de Veen,1,wob,vol,NA,NA,D
wob6,Paulo Otavio,1,wob,atpr,NA,NA,D
wob7,Luca Waldschmidt,1,wob,sgej,NA,NA,G
wob10,Lukas Nmecha,1,wob,manc,NA,NA,F
wob12,Pavao Pervan,1,wob,twl,NA,NA,A
wob16,Jakub Kaminski,1,wob,lech,NA,NA,D
wob20,Ridle Baku,1,wob,fsvj,NA,NA,G
wob22,Felix Nmecha,1,wob,manc,NA,NA,B
wob23,Jonas Wind,1,wob,kop,NA,NA,E
wob27,Maximilian Arnold,1,wob,wobj,NA,NA,F
wob29,Joshua Guilavogui,1,wob,asse,NA,NA,E
wob31,Yannik Gerhardt,1,wob,koej,NA,NA,E
wob32,Mattias Svanberg,1,wob,maff,NA,NA,E
wob33,Omar Marmoush,1,wob,wad,NA,NA,C
wob38,Bartol Franjic,1,wob,zag,NA,NA,C
wob39,Patrick Wimmer,1,wob,awie,NA,NA,D
wob40,Kevin Paredes,1,wob,dcu,NA,NA,B
bmg1,Jonas Omlin,1,bmg,luz,NA,NA,D
bmg3,Ko Itakura,1,bmg,kaw,NA,NA,E
bmg4,Mamadou Doucoure,1,bmg,psg,NA,NA,A
bmg5,Marvin Friedrich,1,bmg,gelj,NA,NA,D
bmg6,Christoph Kramer,1,bmg,levj,NA,NA,E
bmg7,Patrick Herrmann,1,bmg,bmgj,NA,NA,E
bmg8,Julian Weigl,1,bmg,mu60,NA,NA,H
bmg10,Marcus Thuram,1,bmg,soc,NA,NA,I
bmg11,Hannes Wolf,1,bmg,rbs,NA,NA,E
bmg13,Lars Stindl,1,bmg,ksc,NA,NA,F
bmg14,Alassane Plea,1,bmg,ol,NA,NA,I
bmg17,Manu Kone,1,bmg,tou,NA,NA,G
bmg18,Stefan Lainer,1,bmg,rbs,NA,NA,F
bmg19,Nathan Ngoumou,1,bmg,tou,NA,NA,C
bmg20,Luca Netz,1,bmg,bscj,NA,NA,C
bmg21,Tobias Sippel,1,bmg,fck,NA,NA,B
bmg23,Jonas Hofmann,1,bmg,tsgj,NA,NA,F
bmg24,Tony Jantschke,1,bmg,bmgj,NA,NA,D
bmg25,Ramy Bensebaini,1,bmg,pac,NA,NA,G
bmg29,Joe Scally,1,bmg,nyfc,NA,NA,E
bmg30,Nico Elvedi,1,bmg,fcz,NA,NA,I
bmg32,Florian Neuhaus,1,bmg,mu60,NA,NA,I
bmg34,Conor Noss,1,bmg,bmgj,NA,NA,A
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,NA,NA,A
bmg41,Jan Olschowsky,1,bmg,bmgj,NA,NA,A
